OKR1;Jan;Fev;Mar;Abril;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
META 1.1;Gravação video Instalação Web Local Zink;1- Live Felipe e Alex  2- Visita Hellmann   3- video Alex 205159;1- Live Diego;1- Live Zink;1- Gravação Felipe Aulão Zabbix. / 2- 216334;1- live Beemore Zink;305690;1- Live suporte Felipe e Zink;1- Evento Pernambuco;1 - Gravação Ewok (zink);1 - Gravação de video sobre Whats - LEO;1- ligação de video 332052
META 1.2;1- 200685 / 2- 200566 / 3- 200899 / 4- 201148 / 5- 201149 / 6- 201170 / 7- 201893 / 8- 201615 / 9- 200966 / 10- 201995 /  11- 201615 (2) / 12- 202149 / 13- 202149 (2) / 14 - 202836 / 15- 203190 / 16-203409 / 17-203632;1 - 203632 / 2 - Bases Zink para Leandro / 3- 204746 / 4- 204728 / 5- 205022 / 6- 205048 / 7- 205078 / 8- 205484;1- 206942  / 2-207150 / 3- 207454 / 4- 208494 / 5- 208891 / 6 -209603;1- 210626 / 2- 210938 / 3- 211765 4- Gravação Zink Aulão / 5 - 212535 6- 212682 / 7- 212701;1- 213609 / 2- 213754 / 3- 213874 / 4- 214189 / 5-216458 / 6- 216487;1 -216750 / 2- 301100 / 3- 301062 / 4 - 302592 / 5 - 302737 / 6 - 303097;"305180
305142
304975
304963
304961
304924
304924
304913
304910
304907
304871
304850
304847
304837 308452 308496";1- 309534, 2- 310222, 3- 311307, 4- 311310, 5- 311647, 6- 311669, 7- 311670, 8 -312734;1- 314787 2- 315323 3- (64 documentações do pdvconf criadas via video) 4- 317106;1- 319603 2- 324854 3 - 320548;1-  325681 / 2- 327319 / 3- 327458 / 4- 327621 / 5- 327919 / 6- 328648 / 7- 328678 / 8- 329468 / 9- 329629 / 10- 329643 / 11- 329885;1- 331429
;;;;;;;;;;;;
;;;;;;;;;;;;
